album_name,track_name,track_release,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,key_mode
Fearless (Taylor's Version),Mr. Perfectly Fine (Taylor's Version) [From The Vault],4/7/2021,0.66,0.817,-6.269,0.0521,0.162,0,0.0667,0.714,135.942,4,277592,B minor
Fearless (Taylor's Version),We Were Happy (Taylor's Version) [From The Vault],4/9/2021,0.609,0.373,-8.819,0.0263,0.849,0,0.0779,0.13,106.007,4,244237,C major
Fearless (Taylor's Version),That's When (Taylor's Version) [From The Vault],4/9/2021,0.588,0.608,-7.062,0.0365,0.225,0,0.092,0.508,90.201,4,189496,F major
Fearless (Taylor's Version),Don't You (Taylor's Version) [From The Vault],4/9/2021,0.563,0.473,-11.548,0.0503,0.514,1.2e-5,0.109,0.405,101.934,4,208609,D# major
Fearless (Taylor's Version),Bye Bye Baby (Taylor's Version) [From The Vault],4/9/2021,0.624,0.624,-7.86,0.053900000000000003,0.334,0,0.0995,0.527,80.132,4,242158,F major
Speak Now,Mine,8/4/2010,0.624,0.757,-2.94,0.0296,0.00265,1.87e-6,0.189,0.658,121.07,4,230707,G major
Speak Now,Sparks Fly,10/25/2010,0.605,0.787,-3.002,0.0308,0.0396,1.42e-6,0.163,0.374,114.987,4,260933,F major
Speak Now,Back To December,10/11/2010,0.529,0.67,-4.663,0.0303,0.117,0,0.334,0.286,141.893,4,293027,D major
Speak Now,Speak Now,10/4/2010,0.709,0.599,-3.734,0.0304,0.095,0,0.0973,0.735,118.975,4,240760,G major
Speak Now,Dear John,10/25/2010,0.589,0.47,-5.32,0.028,0.166,1.45e-6,0.112,0.102,119.386,3,403920,E major
Speak Now,Mean,10/18/2010,0.568,0.761,-3.987,0.0459,0.452,0,0.217,0.789,163.974,4,237733,E major
Speak Now,The Story Of Us,10/25/2010,0.543,0.818,-3.611,0.0398,0.00478,3.68e-4,0.0357,0.683,139.898,4,265667,E major
Speak Now,Never Grow Up,10/25/2010,0.714,0.305,-8.837,0.0305,0.819,0,0.174,0.554,124.91,4,290467,D major
Speak Now,Enchanted,10/25/2010,0.455,0.623,-3.878,0.0288,0.0739,4.24e-4,0.146,0.208,163.893,4,352187,G# major
Speak Now,Better Than Revenge,10/25/2010,0.516,0.917,-3.186,0.0827,0.0139,6.37e-6,0.36,0.635,145.821,4,217160,B minor
Speak Now,Innocent,10/25/2010,0.552,0.608,-5.29,0.0259,0.186,0,0.125,0.17,134.05,4,302253,C# minor
Speak Now,Haunted,10/25/2010,0.436,0.95,-2.627,0.057,0.0826,1.08e-6,0.149,0.352,162.088,4,242080,F major
Speak Now,Last Kiss,10/25/2010,0.371,0.341,-9.475,0.0319,0.57,3.09e-5,0.101,0.196,89.038,1,367133,A# major
Speak Now,Long Live,10/25/2010,0.418,0.68,-4.3,0.0347,0.036,7.59e-5,0.114,0.142,204.12,4,317453,G major
Speak Now,Ours,10/25/2010,0.608,0.569,-7.227,0.0284,0.537,0,0.097,0.238,159.845,4,237920,C major
Speak Now,If This Was A Movie,10/25/2010,0.511,0.719,-3.457,0.0265,0.166,4.54e-6,0.34,0.289,147.852,4,234547,E major
Speak Now,Superman,10/25/2010,0.582,0.765,-3.648,0.0324,0.0268,1.95e-6,0.103,0.559,131.982,4,275960,G major
Red,State Of Grace,10/16/2012,0.588,0.825,-5.882,0.0328,1.97e-4,0.00138,0.0885,0.397,129.968,4,295187,E major
Red,Red,10/2/2012,0.602,0.896,-4.267,0.0437,0.0773,8.87e-5,0.091,0.641,124.978,4,220827,C# minor
Red,Treacherous,10/22/2012,0.705,0.621,-8.086,0.0334,0.101,4.3e-6,0.147,0.395,109.993,4,240773,D major
Red,I Knew You Were Trouble,10/22/2012,0.622,0.469,-6.798,0.0363,0.00454,2.25e-6,0.0398,0.679,77.019,4,217973,D# minor
Red,All Too Well,10/22/2012,0.602,0.609,-7.803,0.0243,0.0382,2e-4,0.127,0.337,93.06,4,327893,C major
Red,22,10/22/2012,0.658,0.729,-6.561,0.0378,0.00215,0.0013,0.0752,0.668,104.007,4,230133,G major
Red,I Almost Do,10/22/2012,0.567,0.481,-7.357,0.027,0.0173,4.13e-5,0.182,0.233,145.865,4,242573,E major
Red,We Are Never Ever Getting Back Together,8/13/2012,0.628,0.676,-5.911,0.0916,0.00957,2.65e-5,0.102,0.75,85.984,4,191880,G major
Red,Stay Stay Stay,10/22/2012,0.729,0.748,-6.67,0.0245,0.307,1.29e-6,0.09,0.928,99.981,4,204827,C major
Red,The Last Time,10/22/2012,0.505,0.443,-7.039,0.0276,0.035,3.15e-6,0.0921,0.123,94.069,4,298293,D major
Red,Holy Ground,10/22/2012,0.627,0.816,-6.698,0.0774,0.0162,0.00208,0.0966,0.648,157.043,4,201853,E major
Red,Sad Beautiful Tragic,10/22/2012,0.624,0.34,-12.411,0.029,0.632,0.0337,0.121,0.261,129.987,3,283680,G major
Red,The Lucky One,10/22/2012,0.706,0.499,-7.675,0.0369,0.0371,0,0.132,0.545,117.937,4,240133,E major
Red,Everything Has Changed,10/22/2012,0.624,0.458,-6.755,0.0287,0.36,3.89e-6,0.303,0.436,80.017,4,243933,F# major
Red,Starlight,10/22/2012,0.649,0.777,-5.804,0.0406,0.0213,3.35e-4,0.221,0.587,126.018,4,217827,A major
Red,Begin Again,9/25/2012,0.53,0.526,-8.349,0.0263,0.199,3.52e-6,0.232,0.323,79.025,4,237613,G major
Red,The Moment I Knew,10/22/2012,0.62,0.506,-7.327,0.0312,0.187,1.47e-5,0.102,0.275,126.015,4,285560,G major
Red,Come Back...Be Here,10/22/2012,0.483,0.548,-6.291,0.0254,0.00471,2.01e-6,0.0997,0.217,79.926,4,222707,E major
Red,Girl At Home,10/22/2012,0.733,0.59,-5.86,0.0284,0.272,0,0.136,0.633,125.048,4,220320,F major
Red,Treacherous (Original Demo Recording),10/22/2012,0.828,0.64,-8.248,0.0355,0.175,6.14e-5,0.0996,0.519,109.993,4,239720,D major
Red,Red (Original Demo Recording),10/22/2012,0.678,0.902,-4.659,0.0358,0.113,2.35e-4,0.0722,0.637,124.998,4,226280,C# minor
Red,State Of Grace (Acoustic Version),10/22/2012,0.626,0.118,-15.91,0.0305,0.664,1.69e-4,0.127,0.0682,105.597,4,323080,G major
